 
 SAP2000 v24.2.0 File: SIMPLE-BEAM-DYNAMIC-ELASTIC  N, m, C Units  PAGE 1
 m/d/yy h:mm:ss
 
 T I M E   H I S T O R Y   D A T A 
 
 CASE  Linear-modal-0.002
 FUNCTION  disp-z-1:  Joint 6  Displacement  UZ    
 FUNCTION  moment-0-0:  Frame 4  Station 1  Moment 3-3    
 FUNCTION  moment-0-1:  Frame 4  Station 5  Moment 3-3    
 FUNCTION  moment-1-1:  Frame 5  Station 3  Moment 3-3    
 
       TIME    FUNCTION    FUNCTION    FUNCTION    FUNCTION
               disp-z-1  moment-0-0  moment-0-1  moment-1-1
       0.48   1.099E-04  1319.06092  -1758.7479  2638.12185
      0.482  -1.005E-04  -1205.9161  1607.88815  -2411.8322
      0.484  -1.864E-04  -2236.3489  2981.79856   -4472.698
      0.486  -1.411E-04  -1692.8482  2257.13099   -3385.696
      0.488   3.628E-05   435.31484  -580.41979   870.62968
       0.49   3.409E-04  4091.16408   -5454.885  8182.32817
      0.492   7.628E-04  9153.83696  -12205.116  18307.6739
      0.494     0.00129  15445.0456  -20593.394  30890.0913
      0.496     0.00189  22737.8506  -30317.134   45475.701
      0.498     0.00256  30767.3257    -41023.1   61534.651
        0.5     0.00327   39242.622    -52323.5   78485.243
      0.502     0.00399   47835.804   -63781.07   95671.608
      0.504     0.00468   56125.046   -74833.39  112250.091
      0.506     0.00531   63686.304   -84915.07  127372.608
      0.508     0.00584   70135.263   -93513.68  140270.526
       0.51     0.00626   75142.877   -100190.5  150285.755
      0.512     0.00654    78448.25  -104597.67    156896.5
      0.514     0.00666   79868.341  -106491.12  159736.683
      0.516     0.00661   79304.165  -105738.89  158608.329
      0.518      0.0064   76743.269  -102324.36  153486.538
       0.52     0.00602   72258.493   -96344.66  144516.986
      0.522      0.0055    66012.37   -88016.49  132024.739
      0.524     0.00486   58275.874   -77701.17  116551.748
      0.526     0.00412   49387.042   -65849.39   98774.083
      0.528     0.00331   39726.032   -52968.04   79452.065
       0.53     0.00247  29698.0689   -39597.43   59396.138
      0.532     0.00164  19715.6672  -26287.556   39431.334
      0.534   8.484E-04  10180.9208  -13574.561  20361.8415
      0.536   1.224E-04  1468.58772   -1958.117  2937.17543
      0.538  -5.074E-04   -6089.304  8119.07243  -12178.609
       0.54    -0.00102  -12216.719  16288.9589  -24433.438
      0.542    -0.00139  -16704.216  22272.2884   -33408.43
      0.544    -0.00162    -19416.5  25888.6671     -38833.
      0.546    -0.00169  -20296.657    27062.21   -40593.31
      0.548    -0.00161  -19366.968  25822.6236   -38733.94
       0.55    -0.00139  -16726.327  22301.7692   -33452.65
      0.552    -0.00105   -12544.46  16725.9461  -25088.919
      0.554  -5.878E-04   -7053.234  9404.31252  -14106.469
      0.556  -4.463E-05  -535.51163   714.01551  -1071.0233
      0.558   5.573E-04  6687.95161   -8917.269  13375.9032
       0.56     0.00119  14272.9403  -19030.587  28545.8805
      0.562     0.00182  21861.3656  -29148.487   43722.731
      0.564     0.00242  29080.2915   -38773.72   58160.583
      0.566     0.00296   35574.688   -47432.92   71149.376
      0.568     0.00342   41027.681   -54703.57   82055.362
       0.57     0.00376   45173.263   -60231.02   90346.527
      0.572     0.00398   47806.577    -63742.1   95613.153
      0.574     0.00407   48791.376   -65055.17   97582.751
      0.576     0.00401   48064.423    -64085.9   96128.846
      0.578      0.0038   45636.677    -60848.9   91273.353
       0.58     0.00347     41591.3   -55455.07   83182.601
      0.582     0.00301   36082.341   -48109.79   72164.682
      0.584     0.00244   29337.715   -39116.95    58675.43
      0.586      0.0018  21636.9403  -28849.254   43273.881
      0.588     0.00111  13294.5048  -17726.006  26589.0096
       0.59   3.871E-04  4645.75387   -6194.338  9291.50775
      0.592  -3.307E-04   -3967.819   5290.4254   -7935.638
      0.594    -0.00102  -12213.242  16284.3227  -24426.484
      0.596    -0.00165  -19780.069  26373.4257   -39560.14
      0.598     -0.0022  -26393.138   35190.851   -52786.28
        0.6    -0.00265   -31823.56   42431.418   -63647.13
      0.602    -0.00299   -35898.46   47864.607   -71796.91
      0.604    -0.00321   -38509.89   51346.514   -77019.77
      0.606     -0.0033   -39615.39   52820.514   -79230.77
      0.608    -0.00327   -39237.49   52316.654   -78474.98
       0.61    -0.00312   -37461.45   49948.594   -74922.89
      0.612    -0.00287   -34430.28   45907.044   -68860.57
      0.614    -0.00253  -30337.544   40450.059   -60675.09
      0.616    -0.00212  -25417.999   33890.666     -50836.
      0.618    -0.00166  -19936.799  26582.3993    -39873.6
       0.62    -0.00118  -14177.561  18903.4152  -28355.123
      0.622  -7.013E-04    -8415.09  11220.1204  -16830.181
      0.624  -2.383E-04  -2859.8356  3813.11415   -5719.671
      0.626   1.921E-04  2305.57187  -3074.0958  4611.14374
      0.628   5.766E-04  6918.85947   -9225.146  13837.7189
       0.63   9.037E-04  10844.6045  -14459.473   21689.209
      0.632     0.00116  13979.4492  -18639.266  27958.8984
      0.634     0.00135  16255.8428  -21674.457   32511.686
      0.636     0.00147  17644.1819  -23525.576   35288.364
      0.638     0.00151  18153.2906  -24204.387   36306.581
